Word,Subset-type,Speaker-ID,Chapter-ID,Segment-ID,Gender,Time-tag,Norm-factor
he,dev-clean,174,168635,21,M,"[0.30000000000000004, 0.7000000000000001]",0.02845797786360605
protected,dev-clean,174,168635,21,M,"[0.7000000000000001, 1.3]",0.032841408512375415
the,dev-clean,1272,141231,11,M,"[0.0, 0.4]",0.019059160322722358
to,dev-clean,1272,141231,11,M,"[4.0, 4.1]",0.02096637517469908
command,dev-clean,1272,141231,11,M,"[4.1, 4.5]",0.07054148226975691
I,dev-clean,8297,275154,19,M,"[0.1, 0.4]",0.019249415523978068
tried,dev-clean,8297,275154,19,M,"[0.4, 0.9]",0.10747466332220408
it,dev-clean,8297,275154,19,M,"[0.9, 1.0]",0.03297145622546758
yesterday,dev-clean,8297,275154,19,M,"[1.0, 1.2]",0.07669163596107212
it,dev-clean,8297,275154,19,M,"[1.2, 2.4]",0.031917242228784136
set,dev-clean,8297,275154,19,M,"[2.4, 2.8]",0.07566955223977492
my,dev-clean,8297,275154,19,M,"[2.8, 3.0]",0.07828741779846403
brains,dev-clean,8297,275154,19,M,"[3.0, 3.6]",0.06981717492981691
on,dev-clean,8297,275154,19,M,"[3.6, 3.8]",0.05042157291302134
fire,dev-clean,8297,275154,19,M,"[3.8, 4.2]",0.0616882531935624
I'm,dev-clean,8297,275154,19,M,"[4.2, 5.0]",0.053834695823364524
took,dev-clean,8297,275154,19,M,"[6.4, 6.8]",0.02809415606674433
he,dev-clean,6345,93302,28,F,"[0.1, 0.5]",0.008748371274896298
checked,dev-clean,6345,93302,28,F,"[0.5, 0.7000000000000001]",0.05555585463508322
the,dev-clean,6345,93302,28,F,"[0.7000000000000001, 0.9]",0.0353213397859652
silly,dev-clean,6345,93302,28,F,"[0.9, 1.2]",0.09591738870673584
impulse,dev-clean,6345,93302,28,F,"[1.2, 1.7000000000000002]",0.03360195021312348
sufficient,dev-clean,1919,142785,35,F,"[0.2, 1.1]",0.07355398725576405
to,dev-clean,1919,142785,35,F,"[1.1, 1.2]",0.055912967519482326
serve,dev-clean,1919,142785,35,F,"[1.2, 1.6]",0.08749396659288103
with,dev-clean,1919,142785,35,F,"[1.6, 1.7000000000000002]",0.0735433869692124
mackerel,dev-clean,1919,142785,35,F,"[2.7, 3.0]",0.04506014954793352
first,dev-clean,5338,284437,33,F,"[1.3, 1.9]",0.023697725172325875
illustration,dev-clean,1919,142785,6,F,"[0.2, 1.3]",0.08884335917609698
the,dev-clean,1919,142785,6,F,"[1.3, 1.7000000000000002]",0.01223068481410582
Cucumber,dev-clean,1919,142785,6,F,"[1.7000000000000002, 2.3]",0.06378466708396217
that,dev-clean,174,168635,1,M,"[1.2, 1.5]",0.03795693162702463
ex-convict,dev-clean,174,168635,1,M,"[1.5, 2.5]",0.0442059128466153
we,dev-clean,1272,135031,17,M,"[1.9, 2.0]",0.11167237599565588
look,dev-clean,1272,135031,17,M,"[2.0, 2.3]",0.10565021836841393
sharp,dev-clean,1272,135031,17,M,"[2.3, 2.7]",0.06748181612498998
these,dev-clean,1272,135031,17,M,"[5.1, 5.3]",0.07540508207929128
don't,dev-clean,1462,170142,42,F,"[0.2, 0.7000000000000001]",0.02790684069990143
cry,dev-clean,1462,170142,42,F,"[1.4, 1.6]",0.012347467370977356
I,dev-clean,1462,170142,29,F,"[1.1, 1.3]",0.06817394189865401
know,dev-clean,1462,170142,29,F,"[1.3, 1.5]",0.12535560902717496
said,dev-clean,1462,170142,29,F,"[2.6, 2.9]",0.05466373675210108
simply,dev-clean,1462,170142,29,F,"[2.9, 3.2]",0.04091029083048744
she,dev-clean,1462,170142,31,F,"[0.30000000000000004, 0.7000000000000001]",0.05167761580404358
listened,dev-clean,1462,170142,31,F,"[0.7000000000000001, 1.0]",0.0995403499269763
intently,dev-clean,1462,170142,31,F,"[1.0, 1.3]",0.059036246023919374
but,dev-clean,1462,170142,31,F,"[1.3, 2.2]",0.04268842782276162
creaking,dev-clean,1462,170142,31,F,"[3.2, 3.6]",0.05804087253255642
now,dev-clean,1919,142785,43,F,"[0.30000000000000004, 0.7000000000000001]",0.10248386273912774
beat,dev-clean,1919,142785,43,F,"[0.7000000000000001, 1.1]",0.07287285747953898
and,dev-clean,1919,142785,43,F,"[1.1, 1.3]",0.06782309120652763
strain,dev-clean,1919,142785,43,F,"[1.3, 1.6]",0.08778815267089549
the,dev-clean,1919,142785,43,F,"[1.6, 1.7000000000000002]",0.0906684481763506
eggs,dev-clean,1919,142785,43,F,"[1.7000000000000002, 2.2]",0.07226933960131199
work,dev-clean,1919,142785,43,F,"[2.2, 3.1]",0.03873510887218316
these,dev-clean,1919,142785,43,F,"[3.1, 3.3]",0.09490827749987794
other,dev-clean,1919,142785,43,F,"[3.9, 4.1]",0.07724082463837531
ingredients,dev-clean,1919,142785,43,F,"[4.1, 4.2]",0.049190788413272936
and,dev-clean,1919,142785,43,F,"[4.2, 5.0]",0.0576480513980564
the,dev-clean,1919,142785,43,F,"[5.0, 5.1]",0.009593234662068151
forcemeat,dev-clean,1919,142785,43,F,"[5.1, 5.6]",0.08330953338292424
will,dev-clean,1919,142785,43,F,"[5.6, 5.8]",0.04839672328143048
be,dev-clean,1919,142785,43,F,"[5.8, 5.9]",0.06705313429851811
ready,dev-clean,1919,142785,43,F,"[5.9, 6.2]",0.07849778839320032
for,dev-clean,1919,142785,43,F,"[6.2, 6.4]",0.056637519130046825
use,dev-clean,1919,142785,43,F,"[6.4, 6.6]",0.037988972745690346
Herbert,dev-clean,8297,275154,8,M,"[1.5, 2.0]",0.060141113417786725
Words,dev-clean,8297,275154,8,M,"[2.5, 2.9]",0.07855091876721793
Can,dev-clean,8297,275154,8,M,"[2.9, 3.1]",0.04697569552076748
Say,dev-clean,8297,275154,8,M,"[3.1, 3.4]",0.07684704584162283
Heretics,dev-clean,1673,143397,7,F,"[1.5, 2.1]",0.14485227065103587
and,dev-clean,1673,143397,7,F,"[2.1, 2.4]",0.04395016553140208
with,dev-clean,1673,143397,7,F,"[2.4, 2.6]",0.2552142081297377
you,dev-clean,1673,143397,7,F,"[2.6, 2.9]",0.12397375194705165
I,dev-clean,1673,143397,7,F,"[2.9, 3.0]",0.1977302437624464
will,dev-clean,1673,143397,7,F,"[3.0, 3.2]",0.14250625349421134
exterminate,dev-clean,1673,143397,7,F,"[3.2, 3.6]",0.11165085026417987
the,dev-clean,1673,143397,7,F,"[3.6, 4.0]",0.07264451946180156
Persians,dev-clean,1673,143397,7,F,"[4.0, 4.6]",0.05674805340385027
nothing,dev-clean,5338,284437,16,F,"[0.7000000000000001, 1.0]",0.12821049268478998
Majestic,dev-clean,5338,284437,16,F,"[1.0, 1.6]",0.09160392854455106
about,dev-clean,5338,284437,16,F,"[1.6, 1.7000000000000002]",0.09895086724547608
do,dev-clean,6345,93302,21,F,"[0.2, 0.5]",0.0311514598915124
you,dev-clean,6345,93302,21,F,"[0.5, 0.6000000000000001]",0.056999183391164464
think,dev-clean,6345,93302,21,F,"[0.6000000000000001, 0.8]",0.036724867205770215
I'm,dev-clean,6345,93302,21,F,"[0.8, 0.9]",0.06679037267511316
not,dev-clean,6345,93302,21,F,"[0.9, 1.1]",0.058849504178426874
sorry,dev-clean,6345,93302,21,F,"[1.1, 1.3]",0.11568658888251505
now,dev-clean,6345,93302,21,F,"[1.3, 1.6]",0.07894689068122415
a,dev-clean,1462,170138,20,F,"[0.0, 0.2]",0.0012952806671910851
little,dev-clean,1462,170138,20,F,"[0.2, 0.5]",0.11961969565677286
attack,dev-clean,1462,170138,20,F,"[0.5, 0.8]",0.07411323847948358
there,dev-clean,1462,170142,18,F,"[0.0, 0.4]",0.09732176110903017
is,dev-clean,1462,170142,18,F,"[0.4, 0.5]",0.09134564641126422
this,dev-clean,1462,170142,18,F,"[0.5, 0.6000000000000001]",0.10919376164908848
deception,dev-clean,1462,170142,18,F,"[0.6000000000000001, 1.3]",0.058190732773757026
between,dev-clean,1462,170142,18,F,"[1.3, 1.8]",0.06947581084410459
me,dev-clean,1462,170142,18,F,"[1.8, 2.0]",0.1265940328456798
and,dev-clean,1462,170142,18,F,"[2.0, 2.2]",0.05970400220559944
everything,dev-clean,1462,170142,18,F,"[2.2, 2.6]",0.05724705086854464
this,dev-clean,5338,24615,12,F,"[0.2, 0.8]",0.05615414285541922
work,dev-clean,5338,24615,12,F,"[0.8, 1.0]",0.05278660235500394
of,dev-clean,5338,24615,12,F,"[1.0, 1.1]",0.05702272126443369
art,dev-clean,5338,24615,12,F,"[1.1, 1.4]",0.12576843416104955
miles,dev-clean,5338,24615,12,F,"[3.4, 3.6]",0.040467232147742116
round,dev-clean,5338,24615,12,F,"[3.6, 4.1]",0.06861375045962058
the,dev-clean,1462,170142,3,F,"[0.30000000000000004, 0.7000000000000001]",0.08161359683864393
empty,dev-clean,1462,170142,3,F,"[1.1, 1.2]",0.1565968435748929
when,dev-clean,1462,170142,3,F,"[1.2, 1.6]",0.08690834967082492
he,dev-clean,1462,170142,3,F,"[1.6, 1.7000000000000002]",0.06976643903181283
entered,dev-clean,1462,170142,3,F,"[1.7000000000000002, 2.2]",0.04820425167860423
I,dev-clean,1462,170142,16,F,"[0.0, 0.30000000000000004]",0.01806102679940664
am,dev-clean,1462,170142,16,F,"[0.30000000000000004, 0.5]",0.15359649670898445
not,dev-clean,1462,170142,16,F,"[0.5, 0.7000000000000001]",0.15457421001896626
a,dev-clean,1462,170142,16,F,"[0.7000000000000001, 0.8]",0.11531917303159298
can,dev-clean,1462,170142,16,F,"[1.2, 1.4]",0.09940971460763648
live,dev-clean,1462,170142,16,F,"[1.4, 1.7000000000000002]",0.11355147875885205
two,dev-clean,1462,170142,16,F,"[1.7000000000000002, 1.9]",0.07220387319384912
lives,dev-clean,1462,170142,16,F,"[1.9, 2.0]",0.0769169578234633
he,dev-clean,1462,170142,16,F,"[2.0, 2.8]",0.05012606643051352
went,dev-clean,1462,170142,16,F,"[2.8, 3.1]",0.08631772133419703
on,dev-clean,1462,170142,16,F,"[3.1, 3.3]",0.07846016716010952
feverishly,dev-clean,1462,170142,16,F,"[3.3, 3.9]",0.05199174109762004
each,dev-clean,1462,170142,16,F,"[3.9, 4.7]",0.05043223364775005
life,dev-clean,1462,170142,16,F,"[4.7, 5.0]",0.1233561807337767
spoils,dev-clean,1462,170142,16,F,"[5.0, 5.4]",0.12795945641714626
the,dev-clean,1462,170142,16,F,"[5.4, 5.6]",0.0740938004463777
at,dev-clean,1673,143397,8,F,"[0.30000000000000004, 0.7000000000000001]",0.05215521352282747
these,dev-clean,1673,143397,8,F,"[0.7000000000000001, 0.8]",0.07083899107782865
Blasphemous,dev-clean,1673,143397,8,F,"[0.8, 1.5]",0.09893016464834137
sounds,dev-clean,1673,143397,8,F,"[1.5, 2.0]",0.0353703857842211
the,dev-clean,1673,143397,8,F,"[2.0, 2.3]",0.01297265194872519
the,dev-clean,1673,143397,8,F,"[2.8, 2.9]",0.055485834089896484
sanctuary,dev-clean,1673,143397,8,F,"[2.9, 3.2]",0.05311727918751597
were,dev-clean,1673,143397,8,F,"[3.2, 3.5]",0.07066594247885462
shaken,dev-clean,1673,143397,8,F,"[3.5, 4.0]",0.04201173550663299
they,dev-clean,7976,105575,23,M,"[0.0, 0.5]",0.05713046721318819
dozens,dev-clean,7976,105575,23,M,"[1.5, 2.2]",0.0708863578424227
even,dev-clean,7976,105575,23,M,"[2.2, 3.0]",0.06302214904370625
to,dev-clean,7976,105575,23,M,"[3.5, 3.6]",0.04031171102806372
the,dev-clean,7976,105575,23,M,"[3.6, 3.8]",0.05334607503166496
works,dev-clean,7976,105575,23,M,"[3.8, 4.2]",0.04931509772921799
singer,dev-clean,174,50561,3,M,"[1.0, 1.4]",0.017576906249724897
approaches,dev-clean,174,50561,3,M,"[1.4, 1.9]",0.017677957498953352
lute,dev-clean,174,50561,3,M,"[2.5, 2.8]",0.012434719465267408
it,dev-clean,1462,170138,27,F,"[0.1, 0.5]",0.06923681384627971
was,dev-clean,1462,170138,27,F,"[0.5, 0.6000000000000001]",0.0930418682433038
Youth,dev-clean,1462,170138,27,F,"[0.6000000000000001, 1.0]",0.09507972987598312
and,dev-clean,1462,170138,27,F,"[2.4, 3.1]",0.0445784723790334
everything,dev-clean,1462,170138,27,F,"[3.1, 3.5]",0.1184936995079805
was,dev-clean,1462,170138,27,F,"[3.5, 3.7]",0.06285271926427585
young,dev-clean,1462,170138,27,F,"[3.7, 4.0]",0.09782972375266023
I,dev-clean,6345,93302,18,F,"[0.1, 0.4]",0.023890209926209237
you,dev-clean,6345,93302,18,F,"[0.8, 1.1]",0.09936159269000236
were,dev-clean,6345,93302,18,F,"[1.1, 1.2]",0.1513847988789082
afraid,dev-clean,6345,93302,18,F,"[1.2, 1.4]",0.057515689850302726
to,dev-clean,6345,93302,18,F,"[1.4, 1.5]",0.03150977202372958
tell,dev-clean,6345,93302,18,F,"[1.5, 1.8]",0.0285306127010813
me,dev-clean,6345,93302,18,F,"[1.8, 1.9]",0.024975294881021556
she,dev-clean,6345,93302,18,F,"[1.9, 2.1]",0.0209970809321871
began,dev-clean,6345,93302,18,F,"[2.1, 2.5]",0.05268307770854023
you,dev-clean,6345,93302,18,F,"[2.5, 2.7]",0.021218893165528517
don't,dev-clean,6345,93302,18,F,"[2.7, 2.9]",0.0989298235008784
love,dev-clean,6345,93302,18,F,"[2.9, 3.1]",0.08670006434880785
never,dev-clean,6345,93302,18,F,"[3.5, 3.6]",0.06019570457215856
loved,dev-clean,6345,93302,18,F,"[3.6, 4.0]",0.08616715905335671
idiot,dev-clean,6345,93302,18,F,"[4.8, 5.0]",0.04644961814234573
to,dev-clean,6345,93302,18,F,"[5.0, 5.2]",0.04937189019099762
believe,dev-clean,6345,93302,18,F,"[5.2, 5.3]",0.1126901151004658
you,dev-clean,6345,93302,18,F,"[5.3, 5.6]",0.09437851142793152
did,dev-clean,6345,93302,18,F,"[5.6, 5.8]",0.18193262718997044
singer,dev-clean,174,50561,9,M,"[1.1, 1.5]",0.014303491479962497
Rosecrans,dev-clean,7976,105575,26,M,"[0.2, 1.1]",0.07086336302614184
protested,dev-clean,7976,105575,26,M,"[1.1, 1.9]",0.04748876434053133
it,dev-clean,7976,105575,26,M,"[1.9, 2.4]",0.04719747416457901
was,dev-clean,7976,105575,26,M,"[2.4, 2.5]",0.04440718815958551
in,dev-clean,7976,105575,26,M,"[2.5, 2.6]",0.03787676246398671
vain,dev-clean,7976,105575,26,M,"[2.6, 2.7]",0.0135164649721659
singer,dev-clean,174,50561,12,M,"[1.1, 1.5]",0.012803337212459564
who,dev-clean,5536,43358,16,M,"[0.4, 0.7000000000000001]",0.050616730939244486
his,dev-clean,5536,43358,16,M,"[1.3, 1.5]",0.04378131947553469
superstition,dev-clean,5536,43358,16,M,"[1.5, 2.2]",0.05035285283461573
I'll,dev-clean,1462,170142,10,F,"[0.2, 0.6000000000000001]",0.02617425846918737
do,dev-clean,1462,170142,10,F,"[0.6000000000000001, 0.7000000000000001]",0.08269703491306135
anything,dev-clean,1462,170142,10,F,"[0.7000000000000001, 0.9]",0.14954274134922174
you,dev-clean,1462,170142,10,F,"[0.9, 1.2]",0.09772376565771368
wish,dev-clean,1462,170142,10,F,"[1.2, 1.4]",0.09009839052138187
me,dev-clean,1462,170142,10,F,"[1.4, 1.6]",0.06380117693969045
Bartley,dev-clean,1462,170142,10,F,"[1.6, 2.2]",0.04865536211661862
she,dev-clean,1462,170142,10,F,"[2.2, 3.3]",0.018447768316249502
said,dev-clean,1462,170142,10,F,"[3.3, 3.6]",0.04857465818443425
tremulously,dev-clean,1462,170142,10,F,"[3.6, 4.2]",0.07358524253312672
Mister,dev-clean,1272,128104,0,M,"[0.30000000000000004, 0.8]",0.036015635028706354
quilter,dev-clean,1272,128104,0,M,"[0.8, 1.2]",0.10202472894803112
glad,dev-clean,1272,128104,0,M,"[3.7, 3.8]",0.07226232798649238
her,dev-clean,6345,93302,11,F,"[0.0, 0.30000000000000004]",0.0288392857447
hands,dev-clean,6345,93302,11,F,"[0.30000000000000004, 0.6000000000000001]",0.043489527797136135
aching,dev-clean,6345,93302,11,F,"[1.1, 1.5]",0.050961993513939007
with,dev-clean,6345,93302,11,F,"[1.5, 1.6]",0.035756743662586306
cold,dev-clean,6345,93302,11,F,"[1.6, 2.0]",0.11957871527978745
you,dev-clean,6345,93302,2,F,"[0.2, 0.6000000000000001]",0.02902834850263261
see,dev-clean,6345,93302,2,F,"[0.6000000000000001, 0.8]",0.04558284957245008
that,dev-clean,6345,93302,2,F,"[0.8, 1.0]",0.09624800193480733
exactly,dev-clean,6345,93302,2,F,"[1.3, 1.4]",0.020030582273742503
how,dev-clean,6345,93302,2,F,"[1.4, 2.1]",0.05006258752806337
a,dev-clean,6345,93302,2,F,"[2.1, 2.2]",0.040141849018819516
conducted,dev-clean,6345,93302,2,F,"[2.7, 3.3]",0.026258153147125502
standard,dev-clean,6345,93302,2,F,"[4.2, 4.8]",0.06999941467381544
poets,dev-clean,6345,93302,2,F,"[4.8, 5.3]",0.041750648463484925
and,dev-clean,6345,93302,2,F,"[5.3, 5.7]",0.05385722574401914
of,dev-clean,6345,93302,2,F,"[5.7, 5.8]",0.0057229894241626975
the,dev-clean,6345,93302,2,F,"[5.8, 5.9]",0.026020284130708417
journals,dev-clean,6345,93302,2,F,"[6.7, 7.3]",0.03194433266484386
and,dev-clean,1462,170142,40,F,"[0.0, 0.5]",0.1055614336520621
came,dev-clean,1462,170142,40,F,"[0.7000000000000001, 0.9]",0.06537043124716015
caring,dev-clean,1462,170142,40,F,"[1.9, 2.2]",0.08283733055381244
very,dev-clean,1462,170142,40,F,"[2.2, 2.5]",0.07628714339262169
much,dev-clean,1462,170142,40,F,"[2.5, 2.8]",0.03398437348704682
but,dev-clean,1462,170142,40,F,"[2.8, 3.1]",0.060899885366334325
it,dev-clean,1462,170142,40,F,"[3.1, 3.2]",0.08847617105582678
difference,dev-clean,1462,170142,40,F,"[3.4, 3.5]",0.0867873347785884
in,dev-clean,1462,170138,23,F,"[0.0, 0.5]",0.09898818909736118
the,dev-clean,1462,170138,23,F,"[0.5, 0.6000000000000001]",0.09364438712330188
half-light,dev-clean,1462,170138,23,F,"[0.6000000000000001, 0.9]",0.09047988535703216
he,dev-clean,1462,170138,23,F,"[0.9, 1.6]",0.07603890872841444
looked,dev-clean,1462,170138,23,F,"[1.6, 1.8]",0.137743540731785
about,dev-clean,1462,170138,23,F,"[1.8, 2.0]",0.09600303063718184
at,dev-clean,1462,170138,23,F,"[2.0, 2.3]",0.053301028662430965
the,dev-clean,1462,170138,23,F,"[2.3, 2.4]",0.0319039024295658
Stalls,dev-clean,1462,170138,23,F,"[2.4, 2.8]",0.07771633170504416
and,dev-clean,1462,170138,23,F,"[2.8, 3.0]",0.09373420279713217
boxes,dev-clean,1462,170138,23,F,"[3.0, 3.6]",0.04749155757461402
and,dev-clean,1462,170138,23,F,"[3.6, 3.9]",0.01826713135646188
smiled,dev-clean,1462,170138,23,F,"[3.9, 4.5]",0.10909889265311767
a,dev-clean,1462,170138,23,F,"[4.5, 4.6]",0.08206651594086317
little,dev-clean,1462,170138,23,F,"[4.6, 4.7]",0.14058905211573414
consciously,dev-clean,1462,170138,23,F,"[4.7, 5.5]",0.04851550577160756
recalling,dev-clean,1462,170138,23,F,"[5.5, 6.6]",0.07155578254407025
with,dev-clean,1462,170138,23,F,"[6.6, 6.8]",0.10581463852547628
judicial,dev-clean,1462,170138,23,F,"[8.0, 8.5]",0.04774264418823335
frown,dev-clean,1462,170138,23,F,"[8.5, 9.0]",0.05998198516169285
seasonable,dev-clean,1919,142785,22,F,"[0.2, 1.1]",0.07505858341532215
be,dev-clean,1919,142785,22,F,"[2.3, 2.4]",0.0679547208816173
made,dev-clean,1919,142785,22,F,"[2.4, 2.6]",0.1076472096619137
about,dev-clean,1919,142785,22,F,"[2.6, 2.8]",0.08057281404899702
Easter,dev-clean,1919,142785,22,F,"[2.8, 3.4]",0.07337919102289353
this,dev-clean,1919,142785,22,F,"[4.4, 4.6]",0.07632925156202547
time,dev-clean,1919,142785,22,F,"[4.6, 5.0]",0.06805545523472321
eggs,dev-clean,1919,142785,22,F,"[5.0, 5.4]",0.06964480794823248
plentiful,dev-clean,1919,142785,22,F,"[5.4, 5.8]",0.04646641625307886
and,dev-clean,1919,142785,22,F,"[5.8, 6.0]",0.08055396976718633
cheap,dev-clean,1919,142785,22,F,"[6.0, 6.4]",0.04927270970838391
only,dev-clean,1272,128104,12,M,"[0.30000000000000004, 0.9]",0.1623427182197755
good,dev-clean,1272,128104,12,M,"[4.4, 4.9]",0.08373822644248104
Alexander,dev-clean,1462,170138,3,F,"[0.1, 1.0]",0.07113601382758332
exclaimed,dev-clean,1462,170138,3,F,"[1.0, 1.6]",0.046680974301445965
mildly,dev-clean,1462,170138,3,F,"[1.6, 2.0]",0.05979607417115468
after,dev-clean,1462,170142,24,F,"[0.30000000000000004, 0.9]",0.0451678186338126
first,dev-clean,1462,170142,24,F,"[1.3, 1.8]",0.03773670566831586
in,dev-clean,5338,284437,21,F,"[0.1, 0.5]",0.07183631195454959
that,dev-clean,5338,284437,21,F,"[0.5, 0.8]",0.10419849510874116
button-bright,dev-clean,5338,284437,21,F,"[1.7000000000000002, 2.2]",0.04001255879464875
to,dev-clean,5338,284437,21,F,"[3.8, 4.2]",0.06237512075828685
the,dev-clean,5338,284437,21,F,"[4.2, 4.3]",0.03281975429852095
pay,dev-clean,5338,284437,21,F,"[6.1, 6.3]",0.07475931878591327
for,dev-clean,5338,284437,21,F,"[6.3, 6.5]",0.054942167592672564
palace,dev-clean,5338,284437,7,F,"[2.7, 3.2]",0.029835179214463207
she,dev-clean,6345,93306,14,F,"[0.1, 0.5]",0.020561165836104612
you,dev-clean,6345,93306,14,F,"[1.0, 1.1]",0.04797190782003403
are,dev-clean,6345,93306,14,F,"[1.1, 1.2]",0.07033840542896759
kind,dev-clean,6345,93306,14,F,"[1.2, 1.9]",0.034265410112143284
it's,dev-clean,1462,170142,14,F,"[1.6, 1.7000000000000002]",0.0138833883360534
worse,dev-clean,1462,170142,14,F,"[1.7000000000000002, 2.0]",0.10621398777475388
now,dev-clean,1462,170142,14,F,"[2.0, 2.1]",0.0682107357273224
she,dev-clean,5338,284437,9,F,"[0.30000000000000004, 0.7000000000000001]",0.0496081146536172
but,dev-clean,5338,284437,9,F,"[6.2, 7.0]",0.01671393761259889
slender,dev-clean,5338,284437,9,F,"[7.0, 7.3]",0.11684731109016615
our,dev-clean,5338,284437,9,F,"[8.8, 8.9]",0.038073965699024784
type,dev-clean,5536,43358,12,M,"[0.5, 0.8]",0.08489679637445413
of,dev-clean,5536,43358,12,M,"[0.8, 0.9]",0.06799014669927969
prayer,dev-clean,5536,43358,12,M,"[0.9, 1.2]",0.13573561406485546
there,dev-clean,5536,43358,12,M,"[1.2, 1.5]",0.07432705931804501
was,dev-clean,5536,43358,12,M,"[1.5, 1.6]",0.025429750326971885
no,dev-clean,5536,43358,12,M,"[1.6, 1.8]",0.0571187986088761
beseeching,dev-clean,5536,43358,12,M,"[1.8, 2.3]",0.04989127945927122
of,dev-clean,5536,43358,12,M,"[2.3, 2.4]",0.03180281718674432
favor,dev-clean,5536,43358,12,M,"[2.4, 2.8]",0.0745663120128691
or,dev-clean,5536,43358,12,M,"[2.8, 3.0]",0.04919416567794264
help,dev-clean,5536,43358,12,M,"[3.0, 3.3]",0.07989358781212222
but,dev-clean,174,50561,2,M,"[0.30000000000000004, 0.7000000000000001]",0.015186872910225385
